Timestep,Bus,Voltage
2012-07-07 19:00:00,bus_003,127.0171
2012-07-07 19:00:00,bus_004,126.9884
2012-07-07 19:30:00,bus_001,127.017
2012-07-07 19:30:00,bus_002,127.017
2012-07-07 19:30:00,bus_003,127.0171
2012-07-07 19:30:00,bus_004,126.9851
2012-07-07 20:00:00,bus_001,127.017
2012-07-07 20:00:00,bus_002,127.017
2012-07-07 20:00:00,bus_003,127.0171
2012-07-07 20:00:00,bus_004,126.9856
2012-07-07 20:30:00,bus_001,127.017
2012-07-07 20:30:00,bus_002,127.017
2012-07-07 20:30:00,bus_003,127.0171
2012-07-07 20:30:00,bus_004,126.9888
2012-07-07 21:00:00,bus_001,127.017
2012-07-07 21:00:00,bus_002,127.017
2012-07-07 21:00:00,bus_003,127.0171
2012-07-07 21:00:00,bus_004,126.9815
2012-07-07 21:30:00,bus_001,127.017
2012-07-07 21:30:00,bus_002,127.017
2012-07-07 21:30:00,bus_003,127.0171
2012-07-07 21:30:00,bus_004,126.982
2012-07-07 22:00:00,bus_001,127.017
2012-07-07 22:00:00,bus_002,127.017
2012-07-07 22:00:00,bus_003,127.0171
2012-07-07 22:00:00,bus_004,126.9799
2012-07-07 22:30:00,bus_001,127.017
2012-07-07 22:30:00,bus_002,127.017
2012-07-07 22:30:00,bus_003,127.0171
2012-07-07 22:30:00,bus_004,127.0016
2012-07-07 23:00:00,bus_001,127.017
2012-07-07 23:00:00,bus_002,127.017
2012-07-07 23:00:00,bus_003,127.0171
2012-07-07 23:00:00,bus_004,126.9944
2012-07-07 23:30:00,bus_001,127.017
2012-07-07 23:30:00,bus_002,127.017
2012-07-07 23:30:00,bus_003,127.0171
2012-07-07 23:30:00,bus_004,126.9984
2012-07-08 00:00:00,bus_001,127.017
2012-07-08 00:00:00,bus_002,127.017
2012-07-08 00:00:00,bus_003,127.0171
2012-07-08 00:00:00,bus_004,126.9976
2012-07-08 00:30:00,bus_001,127.017
2012-07-08 00:30:00,bus_002,127.017
2012-07-08 00:30:00,bus_003,127.0171
2012-07-08 00:30:00,bus_004,127.0011
2012-07-08 01:00:00,bus_001,127.017
2012-07-08 01:00:00,bus_002,127.017
2012-07-08 01:00:00,bus_003,127.0171
2012-07-08 01:00:00,bus_004,126.9997
2012-07-08 01:30:00,bus_001,127.017
2012-07-08 01:30:00,bus_002,127.017
2012-07-08 01:30:00,bus_003,127.0171
2012-07-08 01:30:00,bus_004,127.0018
2012-07-08 02:00:00,bus_001,127.017
2012-07-08 02:00:00,bus_002,127.017
2012-07-08 02:00:00,bus_003,127.0171
2012-07-08 02:00:00,bus_004,127.0046
2012-07-08 02:30:00,bus_001,127.017
2012-07-08 02:30:00,bus_002,127.017
2012-07-08 02:30:00,bus_003,127.0171
2012-07-08 02:30:00,bus_004,127.0091
2012-07-08 03:00:00,bus_001,127.017
2012-07-08 03:00:00,bus_002,127.017
2012-07-08 03:00:00,bus_003,127.0171
2012-07-08 03:00:00,bus_004,127.0078
2012-07-08 03:30:00,bus_001,127.017
2012-07-08 03:30:00,bus_002,127.017
2012-07-08 03:30:00,bus_003,127.0171
2012-07-08 03:30:00,bus_004,127.0066
2012-07-08 04:00:00,bus_001,127.017
2012-07-08 04:00:00,bus_002,127.017
2012-07-08 04:00:00,bus_003,127.0171
2012-07-08 04:00:00,bus_004,127.0073
2012-07-08 04:30:00,bus_001,127.0171
2012-07-08 04:30:00,bus_002,127.017
2012-07-08 04:30:00,bus_003,127.0171
2012-07-08 04:30:00,bus_004,127.0112
2012-07-08 05:00:00,bus_001,127.017
2012-07-08 05:00:00,bus_002,127.017
2012-07-08 05:00:00,bus_003,127.0171
2012-07-08 05:00:00,bus_004,127.0101
2012-07-08 05:30:00,bus_001,127.017
2012-07-08 05:30:00,bus_002,127.017
2012-07-08 05:30:00,bus_003,127.0171
2012-07-08 05:30:00,bus_004,127.005
2012-07-08 06:00:00,bus_001,127.017
2012-07-08 06:00:00,bus_002,127.017
2012-07-08 06:00:00,bus_003,127.0171
2012-07-08 06:00:00,bus_004,127.0002
